"gene","all15_adjusted_technique_logFC","all15_adjusted_technique_FDR","fresh11_logFC","fresh11_FDR","fresh_no_prior_treatment_logFC","fresh_no_prior_treatment_FDR"
"LINC00685",-0.477484517073548,0.729204634678015,-0.304373263104021,0.68999417015063,-0.459007548731325,0.438375726505263
"PPP2R3B",0.143330398459127,0.937120241257205,0.12117512051027,0.867775140580767,0.160876979592407,0.822329630704024
"CSF2RA",0.08382929674795,0.941362866167704,0.108832509222221,0.707054072340348,0.0448432199201451,0.896987088212181
"IL3RA",-0.0240523889663183,0.987676987381042,0.0408045435360868,0.956240560346755,0.00978608899567493,0.992015271357945
"SLC25A6",0.429891333890093,0.795440606734161,0.277174727397479,0.539909812541728,0.365367262052959,0.319385856598407
"P2RY8",-0.409618572568281,0.831586301123345,-0.282311561988209,0.712661164701235,-0.330433166324041,0.646736088217769
"AKAP17A",0.192990162019071,0.700731738458386,0.151573705196744,0.635116598030598,0.0973238522107793,0.762674922516359
"DHRSX",-0.0339239641069664,0.987168661761228,0.0134153134599342,0.976842043129573,0.0118151288684843,0.98661291854552
"CD99",-0.251417926681142,0.9117360607865,-0.278208084612608,0.700576833586673,-0.44152377668993,0.534389644897746
"PRKX",-0.232436890810115,0.845995942306838,-0.115088082466875,0.823141670358777,-0.167357786244548,0.774544852909099
"AC110995.1",-0.647760864371562,0.620497879203569,-0.411782737973525,0.567636892317067,-0.506223631205365,0.406317645003979
"NLGN4X",0.26413474771113,0.952676354135022,0.246076621087012,0.888509687831256,0.19161610088628,0.917407534210067
"PUDP",0.196468645778517,0.878852625556414,0.238950424469976,0.658343768971671,0.368255757173111,0.492865920176733
"STS",0.0240618289002351,0.987676987381042,0.0779070685606227,0.886521787873812,0.0588635775855749,0.934685156080326
"AC079142.1",-0.0599484328235059,0.981869618753393,0.00598665952745754,0.996049574432636,-0.0130025372259706,0.995031168540369
"ANOS1",0.102192887017492,0.947261053507097,0.0637460622421376,0.925773221047207,0.0233799186739861,0.977649323251274
"TBL1X",-0.255174312850038,0.831586301123345,-0.21840493799134,0.667603484307654,-0.260409385924326,0.655796142154467
"WWC3",0.129065858168093,0.877674649062151,0.0972700780218477,0.787063637663308,0.120347014620047,0.772624969369292
"MID1",-0.166256789686468,0.962718721338874,-0.10985322226259,0.94617045595008,-0.227533696184941,0.842891003361349
"ARHGAP6",0.0463932621410336,0.986243996198961,0.0543339395838874,0.921732706236365,0.0565107628589722,0.915782159236744
