"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Mucosa","Endothelial","TGFB1","ACVR1_TGFbR",0.000891360347085737,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"NKC","Endothelial","TGFB1","ACVR1_TGFbR",0.0105445953120502,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"nmSC","Endothelial","TGFB1","ACVR1_TGFbR",0.000794841949589014,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"PC_VSMC","Endothelial","TGFB1","ACVR1_TGFbR",0.0025460489657315,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"TC","Endothelial","TGFB1","ACVR1_TGFbR",0.00711731855883104,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"BC","Fibroblast","TGFB1","ACVR1_TGFbR",0.00500681882581085,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3high_Myeloid","Fibroblast","TGFB1","ACVR1_TGFbR",0.00416888320672739,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3low_Myeloid","Fibroblast","TGFB1","ACVR1_TGFbR",0.00346099949114736,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Cycling","Fibroblast","TGFB1","ACVR1_TGFbR",0.00400106721072348,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Endothelial","Fibroblast","TGFB1","ACVR1_TGFbR",0.00325626973831079,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
