"patient","source","target","pathway","interaction","eligible","expression_support_10pct","ligand_receptor_expression_product"
"SCH1","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.60096143310944
"SCH2","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.79617958047555
"SCH3","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.87782583568565
"SCH4","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.46402066328465
"SCH5","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,2.50082582996343
"SCH6","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,2.16858124912785
"SCH7","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,4.1416322894984
"SCH8","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,3.74376561028032
"SCH9","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,0.933593155648294
"SCH13","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.67415432903237
"SCH14","C3high_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,0.923797733053742
"SCH1","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.69000876056682
"SCH2","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,2.29869859115557
"SCH3","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.98055711833257
"SCH4","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.6443176134278
"SCH5","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,2.77475148784205
"SCH6","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,2.21401599286744
"SCH7","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,4.62873473594522
"SCH8","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,4.52331506380496
"SCH9","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,0.974030737595386
"SCH13","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,1.91557756021448
"SCH14","C3low_Myeloid","nmSC","MIF","MIF_ACKR3",TRUE,TRUE,0.976341013566607
"SCH1","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,16.1836330701504
"SCH2","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,17.0348536235671
"SCH3","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,8.73997810055231
"SCH4","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,28.2148973771099
"SCH5","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,24.7848945102488
"SCH6","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,9.30853974825673
