"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"nmSC","C3low_Myeloid","IL34","CSF1R",0.0230518268266111,0,"IL34_CSF1R","IL34 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060"
"myeSC","C3high_Myeloid","CSF1","CSF1R",0.00871443078889047,0,"CSF1_CSF1R","CSF1 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060"
"nmSC","C3high_Myeloid","CSF1","CSF1R",0.00726583629241294,0,"CSF1_CSF1R","CSF1 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060"
"myeSC","C3low_Myeloid","CSF1","CSF1R",0.00608296914881322,0,"CSF1_CSF1R","CSF1 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060"
"nmSC","C3low_Myeloid","CSF1","CSF1R",0.00506956385520486,0,"CSF1_CSF1R","CSF1 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060"
"myeSC","C3high_Myeloid","IL16","CD4",0.0133503261501625,0,"IL16_CD4","IL16 - CD4","IL16","Secreted Signaling","KEGG: hsa04060"
"myeSC","C3low_Myeloid","IL16","CD4",0.00930871142672807,0,"IL16_CD4","IL16 - CD4","IL16","Secreted Signaling","KEGG: hsa04060"
"C3high_Myeloid","myeSC","TNF","TNFRSF1A",0.00920095518765259,0.01,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060"
"C3high_Myeloid","nmSC","TNF","TNFRSF1A",0.0148452069410744,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060"
"C3low_Myeloid","nmSC","TNF","TNFRSF1A",0.00911417455277287,0,"TNF_TNFRSF1A","TNF - TNFRSF1A","TNF","Secreted Signaling","KEGG: hsa04060"
"C3high_Myeloid","myeSC","TNFSF12","TNFRSF12A",0.00901318766900536,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060"
"C3low_Myeloid","myeSC","TNFSF12","TNFRSF12A",0.00609393361734567,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060"
"C3high_Myeloid","nmSC","TNFSF12","TNFRSF12A",0.0126513884692886,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060"
"C3low_Myeloid","nmSC","TNFSF12","TNFRSF12A",0.00856395183296957,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060"
"nmSC","C3low_Myeloid","SPP1","CD44",0.0297880538374154,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"C3high_Myeloid","nmSC","SPP1","CD44",0.0456279460878227,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"nmSC","C3high_Myeloid","SPP1","ITGAV_ITGB1",0.0292140131802605,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"C3high_Myeloid","myeSC","SPP1","ITGAV_ITGB1",0.0495542528455179,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"C3high_Myeloid","nmSC","SPP1","ITGAV_ITGB1",0.0590575942258961,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"nmSC","C3high_Myeloid","SPP1","ITGAV_ITGB5",0.0038734444823247,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"C3high_Myeloid","myeSC","SPP1","ITGAV_ITGB5",0.0246258091367905,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"C3low_Myeloid","myeSC","SPP1","ITGAV_ITGB5",0.0092526226547902,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"nmSC","C3low_Myeloid","SPP1","ITGA4_ITGB1",0.0218565293271632,0,"SPP1_ITGA4_ITGB1","SPP1 - (ITGA4+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"nmSC","C3high_Myeloid","SPP1","ITGA5_ITGB1",0.0152472489004963,0,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"nmSC","C3low_Myeloid","SPP1","ITGA5_ITGB1",0.0154161476290604,0,"SPP1_ITGA5_ITGB1","SPP1 - (ITGA5+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"nmSC","C3high_Myeloid","ANGPTL7","LILRB3",0.000134782302197055,0,"ANGPTL7_PIRB","ANGPTL7 - PIRB","ANGPTL","Secreted Signaling","PMID: 24478758"
"nmSC","C3low_Myeloid","ANGPTL7","LILRB3",0.000300917826541727,0,"ANGPTL7_PIRB","ANGPTL7 - PIRB","ANGPTL","Secreted Signaling","PMID: 24478758"
"myeSC","C3high_Myeloid","ANGPTL4","ITGA5_ITGB1",0.000237630112705989,0,"ANGPTL4_ITGA5_ITGB1","ANGPTL4 - (ITGA5+ITGB1)","ANGPTL","Secreted Signaling","PMID: 30049845"
"nmSC","C3high_Myeloid","ANGPTL4","ITGA5_ITGB1",0.000601480523586732,0,"ANGPTL4_ITGA5_ITGB1","ANGPTL4 - (ITGA5+ITGB1)","ANGPTL","Secreted Signaling","PMID: 30049845"
"myeSC","C3low_Myeloid","ANGPTL4","ITGA5_ITGB1",0.000240302991594148,0,"ANGPTL4_ITGA5_ITGB1","ANGPTL4 - (ITGA5+ITGB1)","ANGPTL","Secreted Signaling","PMID: 30049845"
"nmSC","C3low_Myeloid","ANGPTL4","ITGA5_ITGB1",0.00060824352554942,0,"ANGPTL4_ITGA5_ITGB1","ANGPTL4 - (ITGA5+ITGB1)","ANGPTL","Secreted Signaling","PMID: 30049845"
"myeSC","C3high_Myeloid","ANGPTL4","SDC3",3.50385318639118e-06,0,"ANGPTL4_SDC3","ANGPTL4 - SDC3","ANGPTL","Secreted Signaling","PMID: 29017031"
"nmSC","C3high_Myeloid","ANGPTL4","SDC3",8.87200440896103e-06,0,"ANGPTL4_SDC3","ANGPTL4 - SDC3","ANGPTL","Secreted Signaling","PMID: 29017031"
"myeSC","C3high_Myeloid","MDK","ITGA4_ITGB1",0.00564441587801257,0,"MDK_ITGA4_ITGB1","MDK - (ITGA4+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"nmSC","C3high_Myeloid","MDK","ITGA4_ITGB1",0.00944906098281566,0,"MDK_ITGA4_ITGB1","MDK - (ITGA4+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"myeSC","C3low_Myeloid","MDK","ITGA4_ITGB1",0.006669198647789,0,"MDK_ITGA4_ITGB1","MDK - (ITGA4+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"nmSC","C3low_Myeloid","MDK","ITGA4_ITGB1",0.0111568529541152,0,"MDK_ITGA4_ITGB1","MDK - (ITGA4+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"myeSC","C3high_Myeloid","MDK","ITGA6_ITGB1",0.00421172260379879,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"nmSC","C3high_Myeloid","MDK","ITGA6_ITGB1",0.00705750828002757,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"myeSC","C3low_Myeloid","MDK","ITGA6_ITGB1",0.00220300645372645,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"nmSC","C3low_Myeloid","MDK","ITGA6_ITGB1",0.00369657694715007,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"myeSC","C3high_Myeloid","MDK","LRP1",0.00483058811803669,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"nmSC","C3high_Myeloid","MDK","LRP1",0.00809113249103873,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"myeSC","C3low_Myeloid","MDK","LRP1",0.00271394319785905,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"nmSC","C3low_Myeloid","MDK","LRP1",0.00455233265328279,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"myeSC","C3high_Myeloid","MDK","NCL",0.0246320966919072,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"nmSC","C3high_Myeloid","MDK","NCL",0.0407114644514522,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"myeSC","C3low_Myeloid","MDK","NCL",0.0261822691881665,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"nmSC","C3low_Myeloid","MDK","NCL",0.0432287114280879,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"myeSC","C3high_Myeloid","PTN","SDC3",5.19589310879769e-07,0,"PTN_SDC3","PTN - SDC3","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"nmSC","C3high_Myeloid","PTN","SDC3",6.61394009225553e-05,0,"PTN_SDC3","PTN - SDC3","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"myeSC","C3high_Myeloid","PTN","NCL",0.000191294346532054,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"nmSC","C3high_Myeloid","PTN","NCL",0.0237773071586781,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"myeSC","C3low_Myeloid","PTN","NCL",0.000203654237767348,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"nmSC","C3low_Myeloid","PTN","NCL",0.0252750791562536,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
